Original comparison,Species,Protein Name,"seq coverage 0,5fmol/µg","seq coverage 5fmol/µg","seq coverage 12,5fmol/µg","seq coverage 25fmol/µg","seq coverage50fmol/µg","shared peptides, 0.5fmol/µg","shared peptides, 5fmol/µg","shared peptides, 12.5fmol/µg","shared peptide, 25fmol/µg","shared peptide, 50fmol/µg","discriminant peptides, 0.5fmol/µg","discriminant peptides, 5fmol/µg","discriminant peptides, 12.5fmol/µg","discriminant peptides, 25fmol/µg","discriminant peptides, 50fmol/µg",Mol. weight [kDa],Protein description,A1 (raw),A2 (raw),A3 (raw),B1 (raw),B2 (raw),B3 (raw),A1 (log),A2 (log),A3 (log),B1 (log),B2 (log),B3 (log),-Log10 (welch p value),Welch p-value,BH corrected Welch p-value,welch Difference,Z-score,ABS(z-score),"Filtering 1(Welch p-value<0,05)","Filtering 2(BH corrected Welch p-value <0,05)","Filtering 3(Welch p-value<0,05 and z-score>1)",rank,,,
50Vs0.5,UPS1,sp|P08758,0%,0%,13%,18%,44%,0,0,0,0,0,0,0,3,5,9,35938.6, Annexin A5 OS=Homo sapiens GN=ANXA5 PE=1 SV=2,1.30E+10,1.37E+10,1.35E+10,4.34E+09,4.24E+09,3.64E+09,33.60,33.67,33.65,32.02,31.98,31.76,2.63756,0.00230,0.10403,1.72067,1.47882,1.47882,1,0,1,58,,,
50Vs0.5,UPS1,sp|P10145,0%,0%,16%,16%,16%,0,0,0,0,0,0,0,1,1,1,11098.4, Interleukin-8 OS=Homo sapiens GN=IL8 PE=1 SV=1,3.67E+09,3.95E+09,3.72E+09,1.05E+07,1.91E+07,2.55E+07,31.77,31.88,31.79,23.33,24.18,24.61,2.62852,0.00235,0.10099,7.77597,7.02582,7.02582,1,0,1,61,,,
50Vs0.5,UPS1,sp|P06396,0%,3%,11%,21%,27%,0,0,0,0,0,0,2,5,10,14,85697.8, Gelsolin OS=Homo sapiens GN=GSN PE=1 SV=1,2.36E+10,2.19E+10,2.33E+10,3.32E+09,2.51E+09,2.39E+09,34.46,34.35,34.44,31.63,31.22,31.15,2.61659,0.00242,0.09894,3.08190,2.72579,2.72579,1,0,1,64,,,
50Vs0.5,UPS1,sp|P10636,0%,6%,8%,13%,18%,0,0,0,0,0,0,3,4,6,9,78927.7, Microtubule-associated protein tau OS=Homo sapiens GN=MAPT PE=1 SV=5,1.51E+10,1.50E+10,1.43E+10,3.18E+09,2.33E+09,3.01E+09,33.81,33.80,33.73,31.57,31.12,31.49,2.46775,0.00341,0.11737,2.39070,2.09261,2.09261,1,0,1,76,,,
50Vs0.5,UPS1,sp|Q15843,0%,0%,0%,17%,17%,0,0,0,0,0,0,0,0,1,1,9072.0, NEDD8 OS=Homo sapiens GN=NEDD8 PE=1 SV=1,3.42E+09,3.40E+09,3.05E+09,1.89E+07,2.40E+07,4.83E+07,31.67,31.66,31.51,24.18,24.52,25.52,2.45499,0.00351,0.11930,6.87447,6.19999,6.19999,1,0,1,77,,,
50Vs0.5,UPS1,sp|P09211,0%,0%,0%,10%,31%,0,0,0,0,0,0,0,0,1,4,23356.7, Glutathione S-transferase P OS=Homo sapiens GN=GSTP1 PE=1 SV=2,3.66E+09,3.62E+09,3.62E+09,1.31E+09,1.40E+09,1.60E+09,31.77,31.75,31.75,30.29,30.38,30.57,2.41349,0.00386,0.12033,1.34640,1.13597,1.13597,1,0,1,84,,,
50Vs0.5,UPS1,sp|P06732,0%,6%,16%,22%,36%,0,0,0,0,0,0,2,5,6,10,43101.6, Creatine kinase M-type OS=Homo sapiens GN=CKM PE=1 SV=2,1.68E+10,1.64E+10,1.61E+10,1.81E+09,1.47E+09,1.07E+09,33.97,33.93,33.91,30.76,30.45,29.99,2.40218,0.00396,0.11924,3.53783,3.14344,3.14344,1,0,1,87,,,
50Vs0.5,UPS1,sp|P55957,0%,8%,31%,38%,48%,0,0,0,0,0,0,1,3,5,6,21995.3, BH3-interacting domain death agonist OS=Homo sapiens GN=BID PE=1 SV=1,7.55E+09,7.37E+09,7.70E+09,2.59E+08,1.59E+08,3.49E+08,32.81,32.78,32.84,27.95,27.24,28.38,2.35373,0.00443,0.13032,4.95423,4.44095,4.44095,1,0,1,89,,,
50Vs0.5,UPS1,sp|P02788,0%,6%,26%,37%,45%,0,0,0,0,0,0,3,13,17,23,78182.3, Lactotransferrin OS=Homo sapiens GN=LTF PE=1 SV=6,4.44E+10,4.23E+10,4.06E+10,7.26E+09,8.14E+09,5.37E+09,35.37,35.30,35.24,32.76,32.92,32.32,2.32266,0.00476,0.13115,2.63553,2.31689,2.31689,1,0,1,95,,,
50Vs0.5,UPS1,sp|P12081,0%,3%,6%,14%,35%,0,0,0,0,0,0,2,3,7,13,57412.5," Histidine--tRNA ligase, cytoplasmic OS=Homo sapiens GN=HARS PE=1 SV=2",2.13E+10,2.07E+10,2.04E+10,5.17E+09,3.75E+09,5.25E+09,34.31,34.27,34.25,32.27,31.81,32.29,2.26703,0.00541,0.13617,2.15313,1.87498,1.87498,1,0,1,104,,,
50Vs0.5,UPS1,sp|O00762,0%,12%,30%,38%,68%,0,0,0,0,0,0,1,4,4,8,19652.9, Ubiquitin-conjugating enzyme E2 C OS=Homo sapiens GN=UBE2C PE=1 SV=1,1.43E+10,1.37E+10,1.36E+10,1.08E+09,1.89E+09,1.72E+09,33.74,33.67,33.67,30.01,30.82,30.68,2.21535,0.00609,0.13992,3.19040,2.82518,2.82518,1,0,1,114,,,
50Vs0.5,UPS1,sp|P00918,0%,6%,11%,12%,16%,0,0,0,0,0,0,1,2,2,4,29246.6, Carbonic anhydrase 2 OS=Homo sapiens GN=CA2 PE=1 SV=2,7.83E+09,7.61E+09,7.46E+09,2.05E+08,3.62E+08,1.37E+08,32.87,32.82,32.80,27.61,28.43,27.03,2.20650,0.00622,0.14156,5.13783,4.60913,4.60913,1,0,1,115,,,
50Vs0.5,UPS1,sp|P04040,0%,4%,12%,26%,42%,0,0,0,0,0,0,2,6,11,17,59756.5, Catalase OS=Homo sapiens GN=CAT PE=1 SV=3,2.75E+10,2.75E+10,2.75E+10,4.67E+09,6.68E+09,4.34E+09,34.68,34.68,34.68,32.12,32.64,32.01,2.20377,0.00626,0.14122,2.42150,2.12082,2.12082,1,0,1,116,,,
50Vs0.5,UPS1,sp|P62937,0%,0%,10%,20%,16%,0,0,0,0,0,0,0,2,3,3,18012.9, Peptidyl-prolyl cis-trans isomerase A OS=Homo sapiens GN=PPIA PE=1 SV=2,7.20E+09,6.84E+09,6.69E+09,2.51E+08,4.73E+08,5.65E+08,32.75,32.67,32.64,27.91,28.82,29.07,2.12485,0.00750,0.14884,4.08667,3.64621,3.64621,1,0,1,132,,,
50Vs0.5,UPS1,sp|P99999,0%,0%,13%,14%,36%,0,0,0,0,0,0,0,1,2,4,11749.4, Cytochrome c OS=Homo sapiens GN=CYCS PE=1 SV=2,1.45E+09,1.85E+09,1.72E+09,2.78E+08,3.45E+08,2.05E+08,30.43,30.79,30.68,28.05,28.36,27.61,2.08178,0.00828,0.15278,2.62363,2.30599,2.30599,1,0,1,142,,,
50Vs0.5,UPS1,sp|P68871,0%,0%,22%,25%,52%,0,0,0,0,0,0,0,2,2,6,15998.0, Hemoglobin subunit beta OS=Homo sapiens GN=HBB PE=1 SV=2,7.46E+09,6.99E+09,6.67E+09,3.12E+08,2.48E+08,6.66E+08,32.80,32.70,32.64,28.22,27.89,29.31,1.98887,0.01026,0.17115,4.23907,3.78582,3.78582,1,0,1,157,,,
50Vs0.5,UPS1,sp|P00915,0%,0%,9%,18%,35%,0,0,0,0,0,0,0,2,4,6,28870.4, Carbonic anhydrase 1 OS=Homo sapiens GN=CA1 PE=1 SV=2,1.21E+10,1.20E+10,8.06E+09,7.95E+08,3.37E+08,7.00E+08,33.50,33.48,32.91,29.57,28.33,29.38,1.98216,0.01042,0.17271,4.20510,3.75470,3.75470,1,0,1,158,,,
50Vs0.5,UPS1,sp|P02753,0%,0%,5%,11%,14%,0,0,0,0,0,0,0,1,2,2,23010.3, Retinol-binding protein 4 OS=Homo sapiens GN=RBP4 PE=1 SV=3,1.32E+09,1.35E+09,1.27E+09,1.42E+08,5.69E+07,6.05E+07,30.30,30.33,30.24,27.08,25.76,25.85,1.96674,0.01080,0.17453,4.05917,3.62102,3.62102,1,0,1,162,,,
50Vs0.5,UPS1,sp|P63165,0%,0%,12%,12%,12%,0,0,0,0,0,0,0,1,1,1,11557.0, Small ubiquitin-related modifier 1 OS=Homo sapiens GN=SUMO1 PE=1 SV=1,9.69E+08,9.84E+08,1.02E+09,3.75E+07,9.40E+07,9.88E+07,29.85,29.87,29.93,25.16,26.49,26.56,1.85645,0.01392,0.19083,3.81833,3.40040,3.40040,1,0,1,191,,,
50Vs0.5,UPS1,sp|P02144,0%,0%,10%,26%,52%,0,0,0,0,0,0,0,1,3,5,17184.4, Myoglobin OS=Homo sapiens GN=MB PE=1 SV=2,8.50E+09,8.53E+09,6.73E+09,1.51E+08,3.85E+08,7.80E+08,32.99,32.99,32.65,27.17,28.52,29.54,1.62955,0.02347,0.23548,4.46507,3.99285,3.99285,1,0,1,261,,,
50Vs0.5,UPS1,sp|P00441,0%,0%,9%,17%,39%,0,0,0,0,0,0,0,1,1,3,15935.3, Superoxide dismutase [Cu-Zn] OS=Homo sapiens GN=SOD1 PE=1 SV=2,3.51E+09,3.69E+09,4.33E+09,2.40E+08,8.40E+07,4.01E+08,31.71,31.78,32.01,27.84,26.32,28.58,1.62202,0.02388,0.23509,4.25480,3.80023,3.80023,1,0,1,266,,,
50Vs0.5,UPS1,sp|P63279,0%,0%,0%,25%,44%,0,0,0,0,0,0,0,0,2,4,18007.5, SUMO-conjugating enzyme UBC9 OS=Homo sapiens GN=UBE2I PE=1 SV=1,1.70E+09,1.84E+09,1.60E+09,1.97E+08,1.85E+08,5.58E+07,30.66,30.77,30.57,27.55,27.46,25.73,1.61682,0.02416,0.23527,3.75250,3.34009,3.34009,1,0,1,269,,,
50Vs0.5,UPS1,sp|P01112,0%,0%,6%,7%,31%,0,0,0,0,0,0,0,1,1,4,21298.1, GTPase HRas OS=Homo sapiens GN=HRAS PE=1 SV=1,4.68E+09,4.72E+09,4.26E+09,6.61E+08,8.22E+08,2.54E+08,32.12,32.14,31.99,29.30,29.61,27.92,1.57511,0.02660,0.23940,3.13810,2.77727,2.77727,1,0,1,291,,,
50Vs0.5,UPS1,sp|P10599,0%,0%,12%,12%,12%,0,0,0,0,0,0,0,1,1,1,11737.3, Thioredoxin OS=Homo sapiens GN=TXN PE=1 SV=3,2.53E+09,2.43E+09,2.33E+09,1.36E+08,2.15E+07,1.16E+07,31.24,31.18,31.12,27.02,24.36,23.47,1.55232,0.02803,0.23994,6.22843,5.60818,5.60818,1,0,1,306,,,
50Vs0.5,UPS1,sp|P51965,0%,0%,0%,0%,15%,0,0,0,0,0,0,0,0,0,2,21405.0, Ubiquitin-conjugating enzyme E2 E1 OS=Homo sapiens GN=UBE2E1 PE=1 SV=1,2.56E+09,2.43E+09,2.31E+09,1.18E+08,4.52E+08,3.67E+08,31.26,31.18,31.10,26.81,28.75,28.45,1.46261,0.03447,0.25005,3.17537,2.81141,2.81141,1,0,1,361,,,
50Vs0.5,UPS1,sp|P08263,0%,0%,14%,15%,20%,0,0,0,0,0,0,0,1,2,3,25633.1, Glutathione S-transferase A1 OS=Homo sapiens GN=GSTA1 PE=1 SV=3,2.24E+09,2.67E+09,3.38E+09,1.38E+09,7.08E+08,7.70E+08,31.06,31.31,31.66,30.36,29.40,29.52,1.34521,0.04516,0.27444,1.58333,1.35301,1.35301,1,0,1,431,,,
50Vs0.5,UPS1,sp|P69905,0%,0%,0%,0%,11%,0,0,0,0,0,0,0,0,0,1,15257.6, Hemoglobin subunit alpha OS=Homo sapiens GN=HBA1 PE=1 SV=2,1.05E+09,9.67E+08,9.91E+08,1.46E+07,1.73E+08,1.63E+07,29.96,29.85,29.88,23.80,27.36,23.95,1.27691,0.05286,0.29266,4.86053,4.35511,4.35511,0,0,0,473,,,
50Vs0.5,UPS1,sp|Q06830,0%,0%,8%,10%,11%,0,0,0,0,0,0,0,2,2,2,22110.9, Peroxiredoxin-1 OS=Homo sapiens GN=PRDX1 PE=1 SV=1,9.48E+09,1.10E+10,9.26E+09,7.69E+08,1.17E+09,3.69E+09,33.14,33.36,33.11,29.52,30.13,31.78,1.24346,0.05709,0.30701,2.72667,2.40038,2.40038,0,0,0,487,,,
50Vs0.5,UPS1,sp|P01133,0%,0%,1%,1%,1%,0,0,0,0,0,0,0,1,1,1,133993.6, Pro-epidermal growth factor OS=Homo sapiens GN=EGF PE=1 SV=2,1.51E+09,1.61E+09,1.40E+09,2.27E+06,1.05E+08,1.03E+08,30.49,30.58,30.38,21.12,26.64,26.62,1.04382,0.09040,0.37522,5.69490,5.11944,5.11944,0,0,0,631,,,
50Vs0.5,UPS1,sp|P05413,0%,7%,14%,28%,45%,0,0,0,0,0,0,1,2,3,5,14858.5," Fatty acid-binding protein, heart OS=Homo sapiens GN=FABP3 PE=1 SV=4",4.78E+09,4.87E+09,4.33E+09,8.92E+08,8.53E+08,6.78E+07,32.16,32.18,32.01,29.73,29.67,26.01,1.01067,0.09757,0.38544,3.64393,3.24064,3.24064,0,0,0,663,,,
25Vs12.5,UPS1,sp|P15559,0%,3%,7%,10%,13%,0,0,0,0,0,0,1,2,2,3,30869.0, NAD(P)H dehydrogenase [quinone] 1 OS=Homo sapiens GN=NQO1 PE=1 SV=1,3.09E+09,2.98E+09,3.03E+09,1.76E+09,1.66E+09,1.59E+09,31.52,31.47,31.49,30.71,30.63,30.57,2.58190,0.00262,0.10552,0.86077,1.27725,1.27725,1,0,1,65,,,
25Vs12.5,UPS1,sp|P02753,0%,0%,5%,11%,14%,0,0,0,0,0,0,0,1,2,2,23010.3, Retinol-binding protein 4 OS=Homo sapiens GN=RBP4 PE=1 SV=3,6.08E+08,6.71E+08,6.70E+08,3.22E+08,3.37E+08,3.49E+08,29.18,29.32,29.32,28.26,28.33,28.38,2.43050,0.00371,0.11999,0.95060,1.44583,1.44583,1,0,1,81,,,
25Vs12.5,UPS1,sp|P55957,0%,8%,31%,38%,48%,0,0,0,0,0,0,1,3,5,6,21995.3, BH3-interacting domain death agonist OS=Homo sapiens GN=BID PE=1 SV=1,3.08E+09,3.45E+09,3.07E+09,1.60E+09,1.57E+09,1.44E+09,31.52,31.68,31.51,30.57,30.55,30.42,2.32248,0.00476,0.12983,1.06043,1.65194,1.65194,1,0,1,96,,,
25Vs12.5,UPS1,sp|O00762,0%,12%,30%,38%,68%,0,0,0,0,0,0,1,4,4,8,19652.9, Ubiquitin-conjugating enzyme E2 C OS=Homo sapiens GN=UBE2C PE=1 SV=1,5.84E+09,6.77E+09,5.83E+09,3.19E+09,3.09E+09,3.30E+09,32.44,32.66,32.44,31.57,31.52,31.62,2.17936,0.00662,0.14441,0.94270,1.43100,1.43100,1,0,1,120,,,
25Vs12.5,UPS1,sp|P00915,0%,0%,9%,18%,35%,0,0,0,0,0,0,0,2,4,6,28870.4, Carbonic anhydrase 1 OS=Homo sapiens GN=CA1 PE=1 SV=2,3.37E+09,4.17E+09,3.79E+09,1.77E+09,1.56E+09,1.63E+09,31.65,31.96,31.82,30.72,30.54,30.60,2.12658,0.00747,0.15053,1.18790,1.89115,1.89115,1,0,1,130,,,
25Vs12.5,UPS1,sp|P06732,0%,6%,16%,22%,36%,0,0,0,0,0,0,2,5,6,10,43101.6, Creatine kinase M-type OS=Homo sapiens GN=CKM PE=1 SV=2,7.35E+09,9.00E+09,8.40E+09,4.22E+09,4.16E+09,4.09E+09,32.78,33.07,32.97,31.98,31.95,31.93,2.11481,0.00768,0.14570,0.98323,1.50707,1.50707,1,0,1,138,,,
25Vs12.5,UPS1,sp|P63279,0%,0%,0%,25%,44%,0,0,0,0,0,0,0,0,2,4,18007.5, SUMO-conjugating enzyme UBC9 OS=Homo sapiens GN=UBE2I PE=1 SV=1,6.65E+08,8.12E+08,7.49E+08,2.62E+08,3.18E+08,2.53E+08,29.31,29.60,29.48,27.97,28.24,27.91,2.06903,0.00853,0.15515,1.42100,2.32858,2.32858,1,0,1,144,,,
25Vs12.5,UPS1,sp|P41159,0%,13%,21%,25%,41%,0,0,0,0,0,0,2,3,3,5,18641.0, Leptin OS=Homo sapiens GN=LEP PE=1 SV=1,3.73E+09,4.84E+09,4.38E+09,1.95E+09,1.91E+09,1.86E+09,31.80,32.17,32.03,30.86,30.83,30.79,2.05238,0.00886,0.16010,1.17167,1.86069,1.86069,1,0,1,145,,,
25Vs12.5,UPS1,sp|P02768,0%,7%,17%,26%,48%,0,0,0,0,0,0,4,8,13,23,69366.9, Serum albumin OS=Homo sapiens GN=ALB PE=1 SV=2,1.13E+10,1.49E+10,1.34E+10,6.02E+09,5.96E+09,6.13E+09,33.40,33.80,33.64,32.49,32.47,32.51,1.97968,0.01048,0.17261,1.12057,1.76480,1.76480,1,0,1,159,,,
25Vs12.5,UPS1,sp|P01344,0%,12%,14%,14%,14%,0,0,0,0,0,0,2,2,2,2,20140.8, Insulin-like growth factor II OS=Homo sapiens GN=IGF2 PE=1 SV=1,1.98E+09,2.58E+09,2.34E+09,1.13E+09,1.05E+09,1.06E+09,30.88,31.27,31.12,30.08,29.97,29.98,1.94424,0.01137,0.17725,1.08323,1.69472,1.69472,1,0,1,168,,,
25Vs12.5,UPS1,sp|P00918,0%,6%,11%,12%,16%,0,0,0,0,0,0,1,2,2,4,29246.6, Carbonic anhydrase 2 OS=Homo sapiens GN=CA2 PE=1 SV=2,3.10E+09,4.11E+09,3.60E+09,1.50E+09,1.68E+09,1.64E+09,31.53,31.94,31.74,30.48,30.65,30.61,1.91905,0.01205,0.17930,1.15893,1.83678,1.83678,1,0,1,176,,,
25Vs12.5,UPS1,sp|P01008,0%,0%,12%,19%,35%,0,0,0,0,0,0,0,4,6,11,52604.1, Antithrombin-III OS=Homo sapiens GN=SERPINC1 PE=1 SV=1,4.91E+09,6.38E+09,5.52E+09,2.81E+09,2.63E+09,2.40E+09,32.19,32.57,32.36,31.39,31.29,31.16,1.87498,0.01334,0.18677,1.09473,1.71630,1.71630,1,0,1,187,,,
25Vs12.5,UPS1,sp|P02788,0%,6%,26%,37%,45%,0,0,0,0,0,0,3,13,17,23,78182.3, Lactotransferrin OS=Homo sapiens GN=LTF PE=1 SV=6,1.67E+10,2.26E+10,1.95E+10,9.47E+09,9.10E+09,9.09E+09,33.96,34.40,34.19,33.14,33.08,33.08,1.86741,0.01357,0.18805,1.08037,1.68936,1.68936,1,0,1,189,,,
25Vs12.5,UPS1,sp|P16083,0%,8%,17%,24%,42%,0,0,0,0,0,0,1,2,4,6,25918.8, Ribosyldihydronicotinamide dehydrogenase [quinone] OS=Homo sapiens GN=NQO2 PE=1 SV=5,5.80E+09,7.04E+09,7.73E+09,3.31E+09,3.11E+09,3.40E+09,32.43,32.71,32.85,31.62,31.53,31.66,1.84272,0.01436,0.19292,1.05937,1.64995,1.64995,1,0,1,195,,,
25Vs12.5,UPS1,sp|P62937,0%,0%,10%,20%,16%,0,0,0,0,0,0,0,2,3,3,18012.9, Peptidyl-prolyl cis-trans isomerase A OS=Homo sapiens GN=PPIA PE=1 SV=2,2.67E+09,3.72E+09,2.95E+09,1.10E+09,1.35E+09,1.25E+09,31.31,31.79,31.46,30.04,30.33,30.21,1.82272,0.01504,0.19216,1.32913,2.15618,2.15618,1,0,1,205,,,
25Vs12.5,UPS1,sp|O76070,0%,13%,57%,74%,72%,0,0,0,0,0,0,1,4,7,8,13329.6, Gamma-synuclein OS=Homo sapiens GN=SNCG PE=1 SV=2,5.21E+09,6.68E+09,6.44E+09,2.38E+09,1.87E+09,2.58E+09,32.28,32.64,32.59,31.15,30.80,31.26,1.81944,0.01516,0.19268,1.43123,2.34778,2.34778,1,0,1,206,,,
25Vs12.5,UPS1,sp|P02787,0%,2%,15%,19%,30%,0,0,0,0,0,0,1,7,10,17,77064.3, Serotransferrin OS=Homo sapiens GN=TF PE=1 SV=3,8.71E+09,1.17E+10,1.02E+10,5.16E+09,5.25E+09,5.12E+09,33.02,33.45,33.25,32.26,32.29,32.25,1.79329,0.01610,0.19979,0.97090,1.48392,1.48392,1,0,1,211,,,
25Vs12.5,UPS1,sp|P06396,0%,3%,11%,21%,27%,0,0,0,0,0,0,2,5,10,14,85697.8, Gelsolin OS=Homo sapiens GN=GSN PE=1 SV=1,7.66E+09,1.02E+10,9.32E+09,4.40E+09,4.03E+09,4.64E+09,32.83,33.25,33.12,32.03,31.91,32.11,1.78775,0.01630,0.20045,1.04960,1.63161,1.63161,1,0,1,213,,,
25Vs12.5,UPS1,sp|P00709,0%,0%,12%,16%,17%,0,0,0,0,0,0,0,1,2,2,16225.9, Alpha-lactalbumin OS=Homo sapiens GN=LALBA PE=1 SV=1,1.50E+09,2.05E+09,1.72E+09,8.87E+08,7.68E+08,8.11E+08,30.48,30.93,30.68,29.72,29.52,29.60,1.76141,0.01732,0.20527,1.08580,1.69955,1.69955,1,0,1,221,,,
25Vs12.5,UPS1,sp|P61626,0%,0%,27%,27%,27%,0,0,0,0,0,0,0,2,2,2,16536.9, Lysozyme C OS=Homo sapiens GN=LYZ PE=1 SV=1,1.56E+09,2.17E+09,1.76E+09,8.80E+08,7.60E+08,8.38E+08,30.54,31.02,30.71,29.71,29.50,29.64,1.75914,0.01741,0.20178,1.13793,1.79737,1.79737,1,0,1,226,,,
25Vs12.5,UPS1,sp|P68871,0%,0%,22%,25%,52%,0,0,0,0,0,0,0,2,2,6,15998.0, Hemoglobin subunit beta OS=Homo sapiens GN=HBB PE=1 SV=2,2.80E+09,3.82E+09,3.31E+09,1.73E+09,1.53E+09,1.69E+09,31.38,31.83,31.62,30.69,30.51,30.65,1.71169,0.01942,0.21107,0.99397,1.52721,1.52721,1,0,1,241,,,
25Vs12.5,UPS1,sp|P10599,0%,0%,12%,12%,12%,0,0,0,0,0,0,0,1,1,1,11737.3, Thioredoxin OS=Homo sapiens GN=TXN PE=1 SV=3,9.16E+08,1.35E+09,1.10E+09,5.24E+08,4.94E+08,5.46E+08,29.77,30.33,30.04,28.96,28.88,29.02,1.64793,0.02249,0.23103,1.08973,1.70692,1.70692,1,0,1,255,,,
25Vs12.5,UPS1,sp|P01375,0%,0%,16%,23%,41%,0,0,0,0,0,0,0,2,3,5,25645.0, Tumor necrosis factor OS=Homo sapiens GN=TNF PE=1 SV=1,5.42E+09,6.92E+09,5.82E+09,2.56E+09,2.95E+09,1.96E+09,32.34,32.69,32.44,31.25,31.46,30.87,1.62562,0.02368,0.23671,1.29527,2.09264,2.09264,1,0,1,262,,,
25Vs12.5,UPS1,sp|P10636,0%,6%,8%,13%,18%,0,0,0,0,0,0,3,4,6,9,78927.7, Microtubule-associated protein tau OS=Homo sapiens GN=MAPT PE=1 SV=5,5.69E+09,7.86E+09,6.21E+09,3.63E+09,3.57E+09,3.70E+09,32.40,32.87,32.53,31.76,31.73,31.79,1.57761,0.02645,0.23968,0.84473,1.24716,1.24716,1,0,1,289,,,
25Vs12.5,UPS1,sp|P08758,0%,0%,13%,18%,44%,0,0,0,0,0,0,0,3,5,9,35938.6, Annexin A5 OS=Homo sapiens GN=ANXA5 PE=1 SV=2,6.69E+09,8.98E+09,7.32E+09,4.50E+09,3.47E+09,4.04E+09,32.64,33.06,32.77,32.07,31.69,31.91,1.51931,0.03025,0.24450,0.93327,1.41330,1.41330,1,0,1,324,,,
25Vs12.5,UPS1,sp|Q06830,0%,0%,8%,10%,11%,0,0,0,0,0,0,0,2,2,2,22110.9, Peroxiredoxin-1 OS=Homo sapiens GN=PRDX1 PE=1 SV=1,3.55E+09,4.93E+09,4.16E+09,2.49E+09,2.29E+09,2.47E+09,31.72,32.20,31.95,31.21,31.09,31.20,1.51011,0.03090,0.24594,0.78913,1.14282,1.14282,1,0,1,329,,,
25Vs12.5,UPS1,sp|P02144,0%,0%,10%,26%,52%,0,0,0,0,0,0,0,1,3,5,17184.4, Myoglobin OS=Homo sapiens GN=MB PE=1 SV=2,2.35E+09,3.46E+09,3.21E+09,1.38E+09,1.61E+09,1.37E+09,31.13,31.69,31.58,30.36,30.58,30.35,1.50418,0.03132,0.24707,1.03477,1.60378,1.60378,1,0,1,332,,,
25Vs12.5,UPS1,sp|P01579,0%,8%,19%,17%,21%,0,0,0,0,0,0,1,3,2,3,19349.2, Interferon gamma OS=Homo sapiens GN=IFNG PE=1 SV=1,1.81E+09,2.82E+09,2.45E+09,1.01E+09,9.55E+08,6.88E+08,30.75,31.40,31.19,29.92,29.83,29.36,1.49802,0.03177,0.24761,1.41097,2.30976,2.30976,1,0,1,336,,,
25Vs12.5,UPS1,sp|P04040,0%,4%,12%,26%,42%,0,0,0,0,0,0,2,6,11,17,59756.5, Catalase OS=Homo sapiens GN=CAT PE=1 SV=3,1.10E+10,1.55E+10,1.52E+10,7.18E+09,7.01E+09,5.43E+09,33.35,33.85,33.82,32.74,32.71,32.34,1.45934,0.03473,0.25055,1.08123,1.69097,1.69097,1,0,1,363,,,
25Vs12.5,UPS1,sp|P00441,0%,0%,9%,17%,39%,0,0,0,0,0,0,0,1,1,3,15935.3, Superoxide dismutase [Cu-Zn] OS=Homo sapiens GN=SOD1 PE=1 SV=2,1.27E+09,1.58E+09,1.54E+09,7.95E+08,6.15E+08,8.78E+08,30.24,30.56,30.52,29.57,29.20,29.71,1.45209,0.03531,0.25062,0.94853,1.44195,1.44195,1,0,1,369,,,
25Vs12.5,UPS1,sp|P99999,0%,0%,13%,14%,36%,0,0,0,0,0,0,0,1,2,4,11749.4, Cytochrome c OS=Homo sapiens GN=CYCS PE=1 SV=2,5.12E+08,7.86E+08,7.08E+08,3.06E+08,3.50E+08,3.42E+08,28.93,29.55,29.40,28.19,28.38,28.35,1.43201,0.03698,0.25355,0.98787,1.51576,1.51576,1,0,1,382,,,
25Vs12.5,UPS1,sp|P12081,0%,3%,6%,14%,35%,0,0,0,0,0,0,2,3,7,13,57412.5," Histidine--tRNA ligase, cytoplasmic OS=Homo sapiens GN=HARS PE=1 SV=2",9.07E+09,1.39E+10,1.08E+10,6.14E+09,5.99E+09,6.16E+09,33.08,33.70,33.33,32.52,32.48,32.52,1.38533,0.04118,0.26433,0.86340,1.28219,1.28219,1,0,1,408,,,
25Vs12.5,UPS1,sp|P51965,0%,0%,0%,0%,15%,0,0,0,0,0,0,0,0,0,2,21405.0, Ubiquitin-conjugating enzyme E2 E1 OS=Homo sapiens GN=UBE2E1 PE=1 SV=1,9.98E+08,1.21E+09,1.06E+09,6.96E+08,5.45E+08,7.30E+08,29.90,30.18,29.98,29.37,29.02,29.44,1.38402,0.04130,0.26319,0.73797,1.04680,1.04680,1,0,1,411,,,
25Vs12.5,UPS1,sp|P63165,0%,0%,12%,12%,12%,0,0,0,0,0,0,0,1,1,1,11557.0, Small ubiquitin-related modifier 1 OS=Homo sapiens GN=SUMO1 PE=1 SV=1,3.53E+08,4.91E+08,4.06E+08,1.89E+08,2.68E+08,2.09E+08,28.39,28.87,28.60,27.49,28.00,27.64,1.32841,0.04695,0.27880,0.90880,1.36739,1.36739,1,0,1,441,,,
25Vs12.5,UPS1,sp|P61769,0%,0%,19%,19%,30%,0,0,0,0,0,0,0,1,1,2,13714.9, Beta-2-microglobulin OS=Homo sapiens GN=B2M PE=1 SV=1,1.51E+09,2.05E+09,1.81E+09,8.40E+08,4.44E+08,7.86E+08,30.49,30.93,30.75,29.65,28.72,29.55,1.32587,0.04722,0.27917,1.41720,2.32145,2.32145,1,0,1,443,,,
